"SPACK","Ticker","Merger","Up-Front UW fee","Deferred UW fee","Number of underwriters","CEO's age","IPO Proceeds, $M","IPO Sector","IPO Geography","BCMA","Team","Age of the team"
"Evolv Technologies Holdings  Inc. - Class A","HLLY","1","2","3.5","2","62","250","Consumer","Global","0","5","56.2"
"Talkspace  Inc.","HYZN","1","2","3.5","2","61","225.73","Energy","Global","0","7","62.71428571"
"Celularity Inc. - Class A","TALK","1","2","3.5","3","59","414","Financial","Global","0","10","50.3"
"Owlet  Inc. Class A","OWLT","1","2","3.5","7","49","230","Consumer","Global","0","3","56"
"Enovix Corporation","ENVX","1","2","3.5","1","72","230","Technology","US/Canada","0","7","51.85714286"
"Hillman Solutions Corp. - Class A","HLMN","1","2","3.5","1","63","500","Consumer","Global","0","5","41.8"
"Markforged Holding Corporation","MKFG","1","2","3.5","1","50","215","Technology","Global","0","6","58.33333333"
"Wheels Up Experience Inc. Class A","UP","1","2","3.5","1","58","239.75","Consumer","Global","0","4","61.5"
"Sunlight Financial Holdings  Inc. Class A","SUNL","1","2","3.5","9","45","345","Energy","US/Canada","0","5","59"
"EVgo Inc.","EVGO","1","1.74","3.5","2","61","350","Technology","Global","0","5","46.4"
"Sharecare  Inc. - Class A","SHCR","1","2","3.5","8","61","230","Energy","Global","0","6","50.5"
"AvePoint  Inc. - Class A","AVPT","1","2","3.5","1","60","345","Technology","Global","0","2","43"
"Astra Space  Inc. - Class A","ASTR","1","2","3.5","2","70","300","Technology","Global","0","7","60"
"POINT Biopharma Global Inc.","PNT","1","2","3.5","1","43","135.7","Healthcare","Global","0","5","56.2"
"Electric Last Mile Solutions  Inc. - Class A","ELMS","1","2","3.5","1","56","250","General","Global","0","4","54.75"
"Perella Weinberg Partners - Class A","PWP","1","2","3.5","2","57","724.5","Technology","Global","0","7","62.57142857"
"Origin Materials  Inc. - Class A","ORGN","1","2","4","2","51","230","Financial","Global","0","5","50.2"
"PLAYSTUDIOS  Inc.  - Class A","MYPS","1","2","3.5","3","44","250","General","Global","0","6","41.5"
"LiveVox Holding  Inc. - Class A","LVOX","1","2","3.5","3","44","215.25","Technology","Global","0","9","46"
"23andMe Holding Co.","ATIP","1","2","3.5","3","42","345","General","Global","0","11","50.81818182"
"ATI Physical Therapy  Inc. Class A","ME","1","2","3.5","","","","","Global","0","3","53.33333333"
"Quantum-Si Incorporated - Class A","QSI","1","2","3.5","2","41","200","Consumer","Global","0","5","40.8"
"WM Technology  Inc. - Class A","MAPS","1","2","3.5","2","57","250","Cannabis","Global","0","5","53.6"
"Skillsoft Corp. Class A","SKIL","1","2","3.5","1","59","115","Healthcare","Global","0","7","62.85714286"
"Proterra Inc","PTRA","1","2","3.5","2","46","277.5","Energy","Global","0","5","41.6"
"Nautilus Biotechnology  Inc.","NAUT","1","1.76","3.5","2","59","250","Financial","Global","0","11","52.81818182"
"Katapult Holdings  Inc.","KPLT","1","2","3.5","2","40","149.5","Healthcare","Global","0","5","44"
"UpHealth  Inc.","UPH","1","2","3.5","3","45","172.5","Technology","Global","1","9","54.44444444"
"CareMax  Inc. - Class A","CMAX","1","2","3.5","2","","143.75","Healthcare","Global","0","6","59.5"
"Vintage Wine Estates  Inc.","VWE","1","2","3.5","","","","","Global","0","5","59"
"Latch  Inc.","LTCH","1","2","3.5","2","50","300","Technology","Global","0","4","57.5"
"Cano Health  Inc. Class A","CANO","1","2","3.5","3","55","690","General","Global","0","7","51.71428571"
"The Original BARK Company","BARK","1","2","3.5","3","61","414","General","Global","0","6","60.66666667"
"SoFi Technologies  Inc.","SOFI","1","1.75","3.5","1","43","805","Technology","Global","0","12","62.08333333"
"Blue Owl Capital Inc. Class A","OWL","1","2","3.5","1","45","275","Technology","US/Canada","0","8","47.375"
"Blade Air Mobility  Inc. - Class A","BLDE","1","2","3.5","3","61","275","Travel & Hospitality","Global","0","6","55"
"Lightning eMotors  Inc","ZEV","1","2","4","3","61","200","Technology","Global","0","6","59"
"The Beauty Health Company - Class A","SKIN","1","2","3.5","2","50","460","Healthcare","Global","0","7","63"
"Stem  Inc. Class A","STEM","1","2","3.5","2","55","383.59","Energy","Global","0","9","55.77777778"
"AST SpaceMobile  Inc. - Class A","ASTS","1","2","3.5","2","56","230","Consumer","Global","0","7","55.28571429"
"Aeva Technologies  Inc.","AEVA","1","2","3.5","4","45","241.5","General","Global","1","6","46.16666667"
"Ouster  Inc.","OUST","1","2","3.5","2","50","200","General","Global","0","7","53"
"ChargePoint Holdings  Inc.","CHPT","1","2","3.5","5","48","314.12","Energy","US/Canada","0","7","49.85714286"
"Opendoor Technologies Inc","OPEN","1","2","3.5","1","43","414","Technology","US/Canada","0","6","59.16666667"
