"SPACK","Ticker","Merger","Up-Front UW fee","Deferred UW fee","Number of underwriters","CEO's age","IPO Proceeds, $M","IPO Sector","IPO Geography","BCMA","Team","Age of the team"
"Hamilton Lane Alliance","HLAH","0","2","3.5","2","52","276","General","Global","0","7","53.71428571"
"Athlon Acquisition","SWET","0","2","3.5","1","47","276","Healthcare","Global","0","7","47.42857143"
"SVF Investment","SVFA","0","2","3.5","3","48","603.75","Technology","Global","0","3","46"
"Epiphany Tech Acq","EPHY","0","2","3.5","1","56","402.5","Technology","Global","0","7","58"
"KL Acquisition","KLAQ","0","2","3.5","1","39","287.5","Healthcare","Global","0","7","54.42857143"
"Empowerment and Inclusion I","EPWR","0","2","3.5","7","50","276","General","Global","0","10","55.2"
"Omega Alpha SPAC","OMEG","0","2","3.5","2","51","138","Healthcare","Global","0","8","52.25"
"Altimeter Growth 2","AGCB","0","2","3.5","3","49","450","Technology","Global","0","6","47.5"
"VectoIQ Acq II","VTIQ","0","2","3.5","2","58","345","Automotive","Global","1","9","56.66666667"
"Kairos Acquisition","KAIR","0","2","3.5","2","54","276","Financial","Global","0","8","61.375"
"Fortress Value Acq III","FVT","0","2","3.5","2","43","230","General","Global","0","9","47.55555556"
"Benessere Capital Acq","BENE","0","2","3.5","3","48","115","Technology","Global","0","5","39.2"
"Healthcare Services Acq","HCAR","0","2","3.5","1","40","331.2","Healthcare","Global","0","8","48.25"
"Ackrell SPAC Partners I","ACKIT","0","2","3.5","2","48","138","Consumer","Global","1","7","52"
"INSU Acquisition III","IIII","0","2","3.5","2","44","250","Financial","Global","0","7","56.57142857"
"ScION Tech Growth I","SCOA","0","2","3.5","2","50","575","Financial","Global","0","6","50"
"Carney Tech II","CTAQ","0","2","3.5","3","66","402.5","Technology","Global","0","6","62.5"
"HumanCo Acquisition","HMCO","0","2","3.5","1","46","287.5","Healthcare","US/Canada","0","7","50.28571429"
"Concord Acq","CND","0","2","3.5","2","47","276","Financial","Global","0","7","51.71428571"
"Mudrick Capital Acq II","MUDS","0","2","3.5","1","45","316.25","General","Global","0","6","49.83333333"
"FinTech Acq. V","FTCV","0","2","3.5","2","51","250","Financial","Global","0","7","59"
"Highland Transcend I","HTPA","0","2","3.5","2","38","300","Technology","Global","0","8","49"
"Cascade Acquisition","CAS","0","2","3.5","3","58","230","Financial","Global","0","7","58.42857143"
"Omnichannel Acq","OCA","0","2","3.5","2","45","206.5","Consumer","Global","0","9","48.22222222"
"Jiya Acq","JYAC","0","2","3.5","1","51","103.52","Healthcare","Global","0","7","52.42857143"
"Pine Island Acq","PIPP","0","2","3.5","1","69","218.39","Industrial","Global","0","6","59.5"
"Natural Order Acq","NOAC","0","2","3.5","3","49","230","Food","Global","0","4","54"
"Lux Health Tech Acq","LUXA","0","2","3.5","2","39","345","Healthcare","Global","0","6","52.33333333"
"Mallard Acquisition","MACU","0","2","3.5","2","57","110","Industrial","Global","0","6","49.66666667"
"Tekkorp Digital Acq","TEKK","0","2","3.5","2","47","250","Media & Entertainment","Global","0","8","56"
"Lefteris Acquisition","LFTR","0","2","3.5","1","54","207.1","Financial","Global","0","8","54.375"
"H.I.G. Acquisition","HIGA","0","2","3.5","3","52","363.95","General","Global","0","8","55.875"
"5:01 Acquisition","FVAM","0","2","3.5","1","44","82.56","Healthcare","US/Canada","0","7","43.57142857"
"Social Capital VI","IPOF","0","1.74","3.5","1","43","1150","Technology","Global","0","5","44.4"
"TPG Pace Beneficial Finance","TPGY","0","2","3.5","5","","350","General","Global","0","9","53.55555556"
"Vy Global Growth","VYGG","0","2","3.5","2","37","575","Technology","Global","0","10","42.1"
"Atlantic Avenue Acq","ASAQ","0","2","3.5","7","58","250","General","Global","0","8","65"
"IG Acquisition","IGAC","0","2","3.5","2","45","300","Media & Entertainment","Global","0","7","47.42857143"
"Recharge Acquisition","RCHG","0","2","3.5","2","66","200.4","General","Global","0","6","66.5"
"PMV Consumer Acq","PMVC","0","2","3.5","1","","175","Consumer","Global","0","11","58.27272727"
"North Mountain","NMMC","0","2","3.5","1","55","132.25","Financial","Global","0","5","52.4"
"Equity Distribution Acq","EQD","0","2","3.5","1","58","414","Industrial","US/Canada","0","8","59.25"
"Cohn Robbins","CRRCF","0","2","3.5","1","","828","General","Global","0","7","57.28571429"
"Burgundy Technology Acq","BTAQ","0","2","3.5","2","58","345","Technology","Global","0","6","55.66666667"
"RedBall Acquisition","RBAC","0","2","3.5","1","50","575","Media & Entertainment","Global","0","10","57.9"
"GO Acquisition","GOAC","0","2","3.5","3","56","575","Travel & Hospitality","Global","0","8","54.125"
"E.Merge Technology Acquisition","ETAC","0","2","3.5","2","54","600","Technology","Global","0","6","56.66666667"
"Pershing Square Tontine","PSTH","0","0.88","1.44","10","54","4000","General","Global","0","6","59.66666667"
"Yunhong","ZGYH","0","2","3.5","1","47","69","General","Asia","0","6","42"
"CVX","SCVX","0","2","3.5","1","43","230","Technology","Global","0","7","49.42857143"
"Lionheart III Corp","SMX","1","2","3.5","3","50","125","General","Global","0","7","60.42857143"
"Mount Rainier","HUBC","1","2","4","3","59","172.5","Technology","Global","1","5","55"
"Aesther Healthcare","OCEA","1","2","3","3","50","105","Healthcare","Global","0","6","60"
"Legato Merger II","SLND","1","2","3.5","2","48","276","Industrial","Global","0","10","55.4"
"Inflection Point Acq Corp.","LUNR","1","2","3.5","2","48","329.75","Technology","Global","0","6","45.33333333"
"Pathfinder Acquisition","MVLA","1","2","3.5","3","53","325","Technology","Global","1","7","52.14285714"
"Adara Acquisition","ADRA","1","0.87","3.5","4","56","115","Consumer","Global","0","6","51.16666667"
"Gesher I","CRGO","1","2","3.5","3","44","115","General","Global","0","6","43.5"
"LightJump Acquisition","MLEC","1","2","3.5","2","57","138","Technology","Global","1","7","56.14285714"
"Pacifico Acq","CACO","1","2","3.75","1","38","57.5","General","Global","0","5","45"
"Primavera Capital Acq","LANV","1","2","3.5","2","39","414","Consumer","Global","0","6","48.16666667"
"Larkspur Health","ZVSA","1","2","4.5","3","50","77.67","Healthcare","US/Canada","1","5","52"
"PropTech Investment II","SFR","1","2","3.5","2","35","230","Technology","Global","0","7","39"
"8i Acquisition 2","EUDA","1","4","3.5","1","60","86.25","General","Asia","0","5","57.2"
"AGBA Acquisition","AGBA","1","2.5","4","1","52","46","General","Asia","0","5","51.6"
"East Stone Acq","NWTN","1","1.75","0","5","53","138","Financial","Global","0","5","60"
"Ignyte Acq","PKBO","1","2","3.5","1","50","57.5","Healthcare","Global","1","8","48.25"
"Provident Acquisition","PERF","1","2","3.5","1","44","230","Technology","Asia","0","6","55.66666667"
"Endurance Acq","SATX","1","2","4.5","2","55","200","Technology","Global","0","7","55.28571429"
"Mana Capital Acq","CDIO","1","2","2.5","2","63","65","General","Global","1","3","58"
"Executive Network","GRNT","1","1","2.25","2","49","414","General","Global","0","5","54.4"
"Golden Path Acquisition","HOLO","1","2","2.5","2","58","57.5","General","Asia","0","5","48.8"
"Kensington Capital IV","AMPX","1","2","3.5","4","53","230","Automotive","Global","0","11","61.36363636"
"Riverview Acq Corp.","WEST","1","2","3.5","2","69","250","General","Global","0","7","59.85714286"
"Social Capital Suvretta I","AKLI","1","2","3.5","2","44","250","Healthcare","Global","0","5","44"
"Founder SPAC","RBT","1","2","3.5","2","34","316.25","Technology","Global","0","7","50.71428571"
"CHW Acq Corporation","PET","1","2","3.5","2","36","125","General","Global","0","10","50.8"
"DPCM Capital","QBTS","1","2","3.5","1","48","300","Technology","Global","0","6","50"
"Brookline Capital Acq","APGN","1","1.5","0","1","60","57.5","Healthcare","US/Canada","0","6","58.33333333"
"Duddell Street","NOTE","1","2","3.5","2","41","175","General","Global","0","5","51.8"
"Global SPAC Partners","GRRR","1","2","3.5","4","65","167.5","General","EEMEA","0","6","50"
"Social Capital Suvretta III","PROK","1","2","3.5","2","44","250","Healthcare","Global","0","5","46.8"
"Agrico Acq Corp.","KAL","1","2","3.5","1","46","143.75","General","US/Canada","0","6","48.33333333"
"Oaktree Acquisition II","ALVO","1","2","3.5","2","33","250","Industrial","Global","0","9","41.88888889"
"Dynamics Special Purpose","SNTI","1","2","3.5","1","52","230","Healthcare","US/Canada","0","7","54"
"SVF Investment 3","SYM","1","2","3.5","5","44","320","Technology","Global","0","4","55.5"
"Apollo Strategic Growth","GBTG","1","2","3.5","6","59","816.81","General","Global","0","6","49.83333333"
"Lionheart Acquisition II","MSPR","1","2","3.5","2","50","230","Technology","Global","0","5","57.6"
"OTR Acquisition","CMRA","1","1.25","3.24","2","41","104.77","General","Global","0","5","50"
"Artisan Acq","PRE","1","2","3.5","3","32","339.34","General","Asia","0","5","51.4"
"EJF Acquisition","PGY","1","2","3.5","2","59","287.5","Financial","Global","0","13","55.46153846"
"B. Riley 150","FAZE","1","2","3.5","1","36","172.5","General","Global","1","5","42.8"
"CleanTech Acq","KITT","1","2","3.5","2","49","172.5","General","Global","1","10","54.4"
"Eve Holding  Inc.","EVEX","1","2","3.5","2","50","230","Industrial","Global","0","7","42.42857143"
"SAI.TECH Global Corporation  - Class A","SAI","1","2","3.5","4","52","230","General","Global","0","12","45.33333333"
"SoundHound AI  Inc. - Class A","SOUN","1","2","3.5","2","53","133","Technology","Global","0","6","54.83333333"
"MoonLake Immunotherapeutics - Class A","MLTX","1","2","3.5","1","52","115","Healthcare","Global","0","8","44.5"
"Terran Orbital Corporation","LLAP","1","2","3.5","1","43","345","General","Global","0","4","52.5"
"Forge Global Holdings  Inc.","FRGE","1","2","3.5","6","51","414","Financial","Global","1","10","53.8"
"Alpha Tau Medical Ltd. - Class A","DRTS","1","2","3.5","1","62","275","Healthcare","Global","0","6","54.33333333"
"Rigetti Computing  Inc.","RGTI","1","2","3.5","2","47","345","Technology","Global","1","7","62.71428571"
"QualTek Services Inc.","QTEK","1","2","3.5","2","58","115","General","Global","1","8","51"
"Energy Vault Holdings  Inc.","CPTN","1","2","3.5","2","61","172.5","General","Global","1","5","54.28571429"
"Cepton  Inc.","ISPO","1","2","3.5","2","50.5","172.5","Travel & Hospitality","Global","0","7","46.85714286"
"Inspirato Incorporated - Class A","NRGV","1","2","3.5","1","57","287.5","Technology","Global","1","7","57.28571429"
"Quanergy Systems  Inc.","CORZ","1","2","3.5","2","54","345","Energy","US/Canada","1","8","51.125"
"Core Scientific  Inc. - Class A","QNGY","1","2","3.5","1","","276","Energy","Asia","0","8","54"
"Sky Harbour Group Corporation Class A","SKYH","1","2","3.5","1","40","135.99","Real Estate","Global","0","4","44.25"
